State,Council,What's On?,Icon,Short description,Suitable for,Day,Time,Where?,Address
SA,City of Holdfast Bay,Wriggle n’ Rhyme,infant_session,"Sing, dance, read, and play with songs and a story.",0 - 2 years,Thursday,9:15am - 9:45am,Brighton Library,"20 Jetty Rd, Brighton SA 5048"
SA,City of Holdfast Bay,Toddler Time,rhymetime,"Sing, dance, read, and play with songs and a story.",2 - 3 years,Thursday,10:00am - 10:30am,Brighton Library,"20 Jetty Rd, Brighton SA 5048"
SA,City of Holdfast Bay,Wriggle n’ Rhyme,infant_session,"Sing, dance, read, and play with songs and a story.",0 - 2 years,Friday,9:15am - 9:45am,Brighton Library,"20 Jetty Rd, Brighton SA 5048"
SA,City of Holdfast Bay,Toddler Time,rhymetime,"Sing, dance, read, and play with songs and a story.",2 - 3 years,Friday,10:00am - 10:30am,Brighton Library,"20 Jetty Rd, Brighton SA 5048"
SA,City of Holdfast Bay,Wriggle n’ Rhyme,infant_session,"Sing, dance, read, and play with songs and a story.",0 - 2 years,Tuesday,9:15am - 9:45am,Glenelg Library,"2 Colley Terrace, Glenelg SA 5045"
SA,City of Holdfast Bay,Toddler Time,rhymetime,"Sing, dance, read, and play with songs and a story.",2 - 3 years,Tuesday,10:00am - 10:30am,Glenelg Library,"2 Colley Terrace, Glenelg SA 5045"
SA,City of Holdfast Bay,Stay 'N' Play,blocks,Create and explore with self-guided stations featuring craft and play activities.,0 - 8 years,Saturday,10:00am - 12:00pm,Brighton Library,"20 Jetty Rd, Brighton SA 5048"
SA,City of Holdfast Bay,Rock 'n' Read,rhymetime,"A half-hour session featuring music, instruments, and stories.",1 - 4 years,Monday,10:00am - 10:30am,Glenelg Library,"2 Colley Terrace, Glenelg SA 5045"
SA,City of Mitcham,Babytime,infant_session,"Our interactive Babytime sessions are a great way to introduce your child to others in the community while enjoying songs, rhymes and chats with other parents and guardians.",0 - 2 years,Wednesday,10:00am - 10:30am,Mitcham Memorial Library,"154 Belair Rd, Hawthorn SA 5062"
SA,City of Mitcham,Little Movers,rhymetime,"Little Movers is an engaging and interactive 30 minute program blending movement, dance, song and storytelling to foster early literacy skills in a fun way!",1 - 5 years,Wednesday,11:00am - 11:30am,Blackwood Library at Tiwu Kumangka,"2/4 Young St, Blackwood SA 5051"
SA,City of Mitcham,Babytime,infant_session,"Our interactive Babytime sessions are a great way to introduce your child to others in the community while enjoying songs, rhymes and chats with other parents and guardians.",0 - 2 years,Thursday,10:00am - 10:30am,Blackwood Library at Tiwu Kumangka,"2/4 Young St, Blackwood SA 5051"
SA,City of Mitcham,Storytime,books,"Our Storytime sessions are back! Sometimes noisy, sometimes silly, but always fun, join us every Monday from 10:00am at the Mitcham Memorial Library. Meet new friends and discover new favourites.",2 - 5 years,Monday,10:00am - 10:30am,Mitcham Memorial Library,"154 Belair Rd, Hawthorn SA 5062"
SA,City of Mitcham,Storytime,books,"Our Storytime sessions are back! Sometimes noisy, sometimes silly, but always fun, join us every Tuesday from 10:00am at the Blackwood Library at Tiwu Kumangka. Meet new friends and discover new favourites.",2 - 5 years,Tuesday,10:00am - 10:30am,Blackwood Library at Tiwu Kumangka,"2/4 Young St, Blackwood SA 5051"
SA,City of Mitcham,Little Movers,rhymetime,"Little Movers is an engaging and interactive 30 minute program blending movement, dance, song and storytelling to foster early literacy skills in a fun way!",1 - 5 years,Tuesday,11:00am - 11:30am,Mitcham Memorial Library,"154 Belair Rd, Hawthorn SA 5062"
SA,City of Adelaide,Something @ City Library,blocks,"Are you looking for something to do on a Saturday afternoon? Come along to the City Library! We have a fun range of activities for all ages, from board games and LEGO, to puzzles and crafts. There is something for everyone, so join in the fun and find a new friend!",1 - 5 years,Saturday,2:00pm - 4:00pm,City Library,"Level 3 Rundle Place, 77-91 Rundle Mall Adelaide SA 5000"
SA,City of Adelaide,Family Storytime,books,"Come and explore an interactive world of story, song, music and movement for children aged 0–5 and their families every Tuesday and Saturday during school term at the Hutt Street Library. No bookings required.",0 - 5 years,Tuesday,10:30am - 11:15am,Hutt Street Library,"235 Hutt St, Adelaide SA 5000"
SA,City of Adelaide,Family Storytime,books,"Come and explore an interactive world of story, song, music and movement for children aged 0–5 and their families every Tuesday and Saturday during school term at the Hutt Street Library. No bookings required.",0 - 5 years,Saturday,10:30am - 11:15am,Hutt Street Library,"235 Hutt St, Adelaide SA 5000"
SA,City of Adelaide,Family Storytime,books,"Come and explore an interactive world of story, song, music and movement for children aged 0–5 and their families every Wednesday at the North Adelaide Library from 10:30 am.",0 - 5 years,Wednesday,10:30am - 11:15am,North Adelaide Library,"176 Tynte St, North Adelaide SA 5006"
SA,City of Adelaide,Family Storytime,books,"Come and explore an interactive world of story, song, music and movement for children aged 0 to 5 and their families every Thursday during school term at the City Library. No bookings required.",0 - 5 years,Thursday,10:30am - 11:15am,City Library,"Level 3 Rundle Place, 77-91 Rundle Mall Adelaide SA 5000"
SA,City of Adelaide,LEGO Club,lego,"Come along to the Adelaide City Libraries' Lego Club and let imaginations run wild every Sunday from 2:00 pm to 3:00 pm. Lego Club is suitable for ages 4 and over. Children 12 and under need to be accompanied by an adult. Although this is a drop-in event, spaces are limited so make sure to register to avoid disappointment!",4+ years,Sunday,2:00pm - 4:00pm,City Library,"Level 3 Rundle Place, 77-91 Rundle Mall Adelaide SA 5000"
SA,City of Adelaide,LEGO Club,lego,"Come along to the Adelaide City Libraries' Lego Club and let imaginations run wild. Lego Club is suitable for ages 4 and over. Children 12 and under need to be accompanied by an adult. Although this is a drop-in event, spaces are limited so make sure to register to avoid disappointment!",4+ years,Wednesday,3:30pm - 4:30pm,Hutt Street Library,"235 Hutt St, Adelaide SA 5000"
