State,Council,Icon,What's On?,Suitible for,Short description,Where?,Address,Day,Time
VIC,City of Greater Geelong,books,Preschool Story Time,3 - 5 years,Help your child discover the magic of stories and develop a lifelong love of reading. Sessions run during school terms.,Lara Library,"5 Walkers Road, Lara VIC 3212",Wednesday,10:00am - 10:45am
VIC,City of Greater Geelong,books,Preschool Story Time,3 - 5 years,Help your child discover the magic of stories and develop a lifelong love of reading. Sessions run during school terms.,Geelong West Library,"153A Pakington Street, Geelong West VIC 3218",Wednesday,10:30am - 11:15am
VIC,City of Greater Geelong,books,Preschool Story Time,3 - 5 years,Help your child discover the magic of stories and develop a lifelong love of reading. Sessions run during school terms.,Queenscliff Library,"55 Hesse Street, Queenscliff VIC 3225",Wednesday,10:30am - 11:15am
VIC,City of Greater Geelong,books,Preschool Story Time,3 - 5 years,Help your child discover the magic of stories and develop a lifelong love of reading. Sessions run during school terms.,Waurn Ponds Library,"230 Pioneer Road, Grovedale VIC 3216",Wednesday,10:30am - 11:15am
VIC,City of Greater Geelong,books,Preschool Story Time,3 - 5 years,Help your child discover the magic of stories and develop a lifelong love of reading. Sessions run during school terms.,Biyal-a Armstrong Creek Library,"20 Central Boulevard, Armstrong Creek VIC 3217",Wednesday,11:00am - 11:45am
VIC,City of Greater Geelong,books,Preschool Story Time,3 - 5 years,Help your child discover the magic of stories and develop a lifelong love of reading. Sessions run during school terms.,Bannockburn Library,"25-27 High Street, Bannockburn VIC 3331",Thursday,10:30am - 11:15am
VIC,City of Greater Geelong,books,Preschool Story Time,3 - 5 years,Help your child discover the magic of stories and develop a lifelong love of reading. Sessions run during school terms.,Belmont Library,"163 High Street, Belmont VIC 3216",Thursday,10:30am - 11:15am
VIC,City of Greater Geelong,books,Preschool Story Time,3 - 5 years,Help your child discover the magic of stories and develop a lifelong love of reading. Sessions run during school terms.,Chilwell Library,"51 Russell Street, Newtown VIC 3220",Thursday,10:30am - 11:15am
VIC,City of Greater Geelong,books,Preschool Story Time,3 - 5 years,Help your child discover the magic of stories and develop a lifelong love of reading. Sessions run during school terms.,Barwon Heads Library,"7 Geelong Road, Barwon Heads VIC 3227",Friday,10:30am - 11:15am
VIC,City of Greater Geelong,books,Preschool Story Time,3 - 5 years,Help your child discover the magic of stories and develop a lifelong love of reading. Sessions run during school terms.,Geelong Library & Heritage Centre,"51 Little Malop Street, Geelong VIC 3220",Friday,10:30am - 11:15am
VIC,City of Greater Geelong,books,Preschool Story Time,3 - 5 years,Help your child discover the magic of stories and develop a lifelong love of reading. Sessions run during school terms.,Highton Library,"Roslyn Rd, cnr Belle Vue Ave, Geelong VIC 3216",Friday,10:30am - 11:15am
VIC,City of Greater Geelong,books,Preschool Story Time,3 - 5 years,Help your child discover the magic of stories and develop a lifelong love of reading. Sessions run during school terms.,Newcomb Library,"Bellarine Hwy (cnr Wilsons Road), Newcomb VIC 3219",Friday,10:30am - 11:15am
VIC,City of Greater Geelong,pencil,Home-School: The Mix,5-99 years,"Mix it up with a variety of activities including art, craft, games, tech activities, LEGO and more. Ages 5+",Geelong Library & Heritage Centre,"51 Little Malop Street, Geelong VIC 3220",Monday,10:00am - 11:00am
VIC,City of Greater Geelong,lego,Mega LEGO Club,5-99 years,"Join other LEGO fans, explore your creativity and see where your imagination can take you. Ages 5+",Lara Library,"5 Walkers Road, Lara VIC 3212",Monday,3:30pm - 4:30pm
VIC,City of Greater Geelong,pencil,Paint Parties,5-99 years,Lose yourself in a world of colour as you experiment with different styles of paint and other materials. Will you love watercolours or acrylics? Chalk or pastels? Ages 5+,Geelong Library & Heritage Centre,"51 Little Malop Street, Geelong VIC 3220",Monday,4:00pm - 5:00pm
VIC,City of Greater Geelong,lego,Mega LEGO Club,5-99 years,"Join other LEGO fans, explore your creativity and see where your imagination can take you. Ages 5+",Newcomb Library,"Bellarine Hwy (cnr Wilsons Road), Newcomb VIC 3219",Tuesday,4:00pm - 5:00pm
VIC,City of Greater Geelong,pencil,Artists Assemble!,5-99 years,"Calling all artists & creative legends. Get hands on with painting, origami, cut & pasting, & all things art & craft. Activities vary each week. Come along & let your imaginations fly! Ages 5+",Biyal-a Armstrong Creek Library,"20 Central Boulevard, Armstrong Creek VIC 3217",Tuesday,4:00pm - 5:00pm
VIC,City of Greater Geelong,pencil,Junior Mix,5-99 years,"Mix it up with after-school activities including art, craft, games, tech activities, LEGO and more. Ages 5+",Boronggook Drysdale Library,"2-8 Wyndham Street, Drysdale VIC 3222",Tuesday,4:00pm - 5:00pm
VIC,City of Greater Geelong,lego,Mega LEGO Club,5-99 years,"Join other LEGO fans, explore your creativity and see where your imagination can take you. Ages 5+",Colac Community Library & Learning Centre,"173 Queen Street, Colac VIC 3250",Tuesday,4:00pm - 5:00pm
VIC,City of Greater Geelong,books,"Wellness Family Story Time - Nature, Nurture and Nourished",3 - 5 years,"Join us for ""Family Story Time: Wellness Adventures,"" a delightful and engaging program designed for families to explore the world of wellness through storytelling!",Waurn Ponds Library,"230 Pioneer Road, Grovedale VIC 3216",Wednesday,10:30am - 11:30am
VIC,City of Greater Geelong,lego,Mega LEGO Club,5-99 years,"Join other LEGO fans, explore your creativity and see where your imagination can take you. Ages 5+",Torquay Library,"Surf City Plaza, Beach Road, Torquay VIC 3228",Thursday,4:00pm - 5:00pm
VIC,City of Greater Geelong,lego,LEGO Library Club,5-99 years,"Come and connect with other LEGO fans and explore your creativity. Go freestyle and follow your imagination, or pick a challenge card for inspiration! Ages 5+ No bookings required.",Queenscliff Library,"55 Hesse Street, Queenscliff VIC 3225",Friday,3:15pm - 4:15pm
VIC,City of Greater Bendigo,infant_session,Baby Rhyme Time,0 - 1 years,"Simple stories, songs, and rhymes for babies up to one year old.",Bendigo Library,"251-259 Hargreaves Street, Bendigo VIC 3550",Friday,10:30am - 11:00am
VIC,City of Greater Bendigo,infant_session,Baby Rhyme Time,0 - 1 years,"Simple stories, songs, and rhymes for babies up to one year old.",Castlemaine Library,"212 Barker Street, Castlemaine VIC 3450",Tuesday,10:30am - 11:00am
VIC,City of Greater Bendigo,infant_session,Baby Rhyme Time,0 - 1 years,"Simple stories, songs, and rhymes for babies up to one year old.",Gisborne Library,"8 Hamilton Street, Gisborne VIC 3437",Friday,10:30am - 11:00am
VIC,City of Greater Bendigo,infant_session,Baby Rhyme Time,0 - 1 years,"Simple stories, songs, and rhymes for babies up to one year old.",Heathcote Library,"125 High Street, Heathcote VIC 3523",Thursday,10:30am - 11:00am
VIC,City of Greater Bendigo,infant_session,Baby Rhyme Time,0 - 1 years,"Simple stories, songs, and rhymes for babies up to one year old.",Kangaroo Flat Library,"23 Lockwood Road, Kangaroo Flat VIC 3555",Tuesday,10:30am - 11:00am
VIC,City of Greater Bendigo,infant_session,Baby Rhyme Time,0 - 1 years,"Simple stories, songs, and rhymes for babies up to one year old.",Kyneton Library,"3 Baynton Street, Kyneton VIC 3444",Tuesday,10:00am - 10:30am
VIC,City of Greater Bendigo,infant_session,Baby Rhyme Time,0 - 1 years,"Simple stories, songs, and rhymes for babies up to one year old.",Romsey Library,"98 Main Street, Romsey VIC 3434",Thursday,11:00am - 11:30am
VIC,City of Greater Bendigo,infant_session,Baby Rhyme Time,0 - 1 years,"Simple stories, songs, and rhymes for babies up to one year old.",Woodend Library,"Cnr High & Forest Streets, Woodend VIC 3442",Friday,11:00am - 11:30am
VIC,City of Greater Bendigo,toddler_session,Toddler Time,1 - 3 years,"Stories, songs, and rhymes for toddlers aged 1-3 years.",Bendigo Library,"251-259 Hargreaves Street, Bendigo VIC 3550",Tuesday,10:30am - 11:00am
VIC,City of Greater Bendigo,toddler_session,Toddler Time,1 - 3 years,"Stories, songs, and rhymes for toddlers aged 1-3 years.",Bendigo Library,"251-259 Hargreaves Street, Bendigo VIC 3550",Thursday,10:30am - 11:00am
VIC,City of Greater Bendigo,toddler_session,Toddler Time,1 - 3 years,"Stories, songs, and rhymes for toddlers aged 1-3 years.",Castlemaine Library,"212 Barker Street, Castlemaine VIC 3450",Monday,10:30am - 11:15am
VIC,City of Greater Bendigo,toddler_session,Toddler Time,1 - 3 years,"Stories, songs, and rhymes for toddlers aged 1-3 years.",Eaglehawk Library,"1 Sailors Gully Road, Eaglehawk VIC 3556",Friday,10:30am - 11:00am
VIC,City of Greater Bendigo,toddler_session,Toddler Time,1 - 3 years,"Stories, songs, and rhymes for toddlers aged 1-3 years.",Kangaroo Flat Library,"23 Lockwood Road, Kangaroo Flat VIC 3555",Wednesday,10:30am - 11:00am
VIC,City of Greater Bendigo,toddler_session,Toddler Time,1 - 3 years,"Stories, songs, and rhymes for toddlers aged 1-3 years.",Kyneton Library,"3 Baynton Street, Kyneton VIC 3444",Monday,11:00am - 11:30am
VIC,City of Greater Bendigo,toddler_session,Toddler Time,1 - 3 years,"Stories, songs, and rhymes for toddlers aged 1-3 years.",Woodend Library,"Cnr High & Forest Streets, Woodend VIC 3442",Tuesday,11:00am - 11:30am
VIC,City of Greater Bendigo,books,Storytime,2 - 5 years,"Stories, songs, and rhymes for preschoolers aged 2-5 years.",Bendigo Library,"251-259 Hargreaves Street, Bendigo VIC 3550",Monday,10:30am - 11:15am
VIC,City of Greater Bendigo,books,Storytime,2 - 5 years,"Stories, songs, and rhymes for preschoolers aged 2-5 years.",Bendigo Library,"251-259 Hargreaves Street, Bendigo VIC 3550",Wednesday,10:30am - 11:15am
VIC,City of Greater Bendigo,books,Storytime,2 - 5 years,"Stories, songs, and rhymes for preschoolers aged 2-5 years.",Castlemaine Library,"212 Barker Street, Castlemaine VIC 3450",Wednesday,10:30am - 11:15am
VIC,City of Greater Bendigo,books,Storytime,2 - 5 years,"Stories, songs, and rhymes for preschoolers aged 2-5 years.",Eaglehawk Library,"1 Sailors Gully Road, Eaglehawk VIC 3556",Tuesday,10:30am - 11:15am
VIC,City of Greater Bendigo,books,Storytime,2 - 5 years,"Stories, songs, and rhymes for preschoolers aged 2-5 years.",Gisborne Library,"8 Hamilton Street, Gisborne VIC 343",Monday,10:30am - 11:15am
VIC,City of Greater Bendigo,books,Storytime,2 - 5 years,"Stories, songs, and rhymes for preschoolers aged 2-5 years.",Gisborne Library,"8 Hamilton Street, Gisborne VIC 343",Wednesday,10:30am - 11:15am
VIC,City of Greater Bendigo,books,Storytime,2 - 5 years,"Stories, songs, and rhymes for preschoolers aged 2-5 years.",Gisborne Library,"8 Hamilton Street, Gisborne VIC 343",Thursday,10:30am - 11:15am
VIC,City of Greater Bendigo,books,Saturday Storytime,2 - 5 years,"Stories, songs, and rhymes for preschoolers aged 2-5 years – on a Saturday! Please note sessions are held the first Saturday of the month only.",Woodend Library,"Corner of High Street and Forest Street, Woodend VIC 3442",Saturday,10:30am - 11:00am
VIC,City of Greater Bendigo,books,Saturday Storytime,2 - 5 years,"Stories, songs, and rhymes for preschoolers aged 2-5 years – on a Saturday! Please note sessions are held the third Saturday of the month only.",Romsey Library,"98 Main Street, Romsey VIC 3434",Saturday,10:00am - 10:30am
VIC,City of Greater Shepparton,infant_session,Baby Rhyme Time,0 - 2 years,"Baby Rhyme Time provides an opportunity to share songs, finger play, rhymes and stories with your baby.",Shepparton Library,"41-42 Marungi St, Shepparton VIC 3630",Wednesday,10:30am - 11:00am
VIC,City of Greater Shepparton,lego,LEGO and Games Club,5-99 years,"Drop in after school to join the fun: build with LEGO, play games",Yarrawonga Library,"26-30 Belmore St, Yarrawonga VIC 3730",Wednesday,3:30pm - 4:30pm
VIC,City of Greater Shepparton,games,After-School Activities,5-99 years,Drop in after school to join the fun: a different activity each week!,Avenel Library,"23 Queen Street, Avenel VIC 3664",Wednesday,4:00pm - 5:00pm
VIC,City of Greater Shepparton,rhymetime,Rhyme and Story Time,2 - 6 years,Story Time provides children and their caregivers an opportunity to share and experience the joy of reading.,Yarrawonga Library,"26-30 Belmore St, Yarrawonga VIC 3730",Thursday,10:30am - 11:30am
VIC,City of Greater Shepparton,rhymetime,Rhyme and Story Time,2 - 6 years,Story Time provides children and their caregivers an opportunity to share and experience the joy of reading.,Nagambie Library,"Nagambie Central, Shop 5/265-267 High St, Nagambie VIC 3608",Thursday,10:30am - 11:30am
VIC,City of Greater Shepparton,rhymetime,Rhyme and Story Time,0 - 6 years,Story Time provides children and their caregivers an opportunity to share and experience the joy of reading.,Euroa Library,"62 Binney St, Euroa VIC 3666",Friday,10:00am - 11:00am
VIC,City of Greater Shepparton,rhymetime,Rhyme and Story Time,2 - 6 years,Story Time provides children and their caregivers an opportunity to share and experience the joy of reading.,Cobram Library,"14 Punt Rd, Cobram VIC 3644",Friday,10:30am - 11:30am
VIC,City of Greater Shepparton,rhymetime,Rhyme and Story Time,2 - 6 years,Story Time provides children and their caregivers an opportunity to share and experience the joy of reading.,Shepparton Library,"41-42 Marungi St, Shepparton VIC 3630",Friday,10:30am - 11:00am
VIC,City of Greater Shepparton,rhymetime,Rhyme and Story Time,2 - 6 years,Story Time provides children and their caregivers an opportunity to share and experience the joy of reading.,Numurkah Library,"18 McCaskill St, Numurkah VIC 3636",Wednesday,10:00am - 11:00am
VIC,City of Greater Shepparton,rhymetime,Rhyme and Story Time,2 - 6 years,Story Time provides children and their caregivers an opportunity to share and experience the joy of reading.,Avenel Library,"23 Queen Street, Avenel VIC 3664",Wednesday,10:30am - 11:30am
VIC,City of Greater Shepparton,rhymetime,Rhyme and Story Time,2 - 6 years,Story Time provides children and their caregivers an opportunity to share and experience the joy of reading. Please note sessions are held the third Thursday of the month only.,Nathalia Library,"75 Blake St, Nathalia VIC 3638",Thursday,10:30am - 11:00am
VIC,City of Greater Shepparton,ESL,Mandarin Rhyme & Story Time,0 - 5 years,"Sessions will be delivered in Mandarin and English. Come along for an hour of fun with your child. Listen to a story, do a craft activity and learn some important information to support your child’s health and development. Sessions are held fortnightly on a Thursday.",Shepparton Library,"41-42 Marungi St, Shepparton VIC 3630",Thursday,10:30am - 11:30am
VIC,City of Greater Shepparton,rhymetime,Rhyme and Story Time,2 - 6 years,Story Time provides children and their caregivers an opportunity to share and experience the joy of reading. Please note sessions are held the third Thursday of the month only.,Violet Town Library,"Cowslip St, Violet Town VIC 3669",Thursday,10:30am - 11:30am
VIC,City of Greater Shepparton,infant_session,Baby Rhyme Time,0 - 2 years,"Baby Rhyme Time provides an opportunity to share songs, finger play, rhymes and stories with your baby. Please note sessions are held the third Thursday of the month only.",Mooroopna Library,"9-11 Morrell St, Mooroopna VIC 3629",Thursday,10:30am - 11:00am
VIC,City of Greater Shepparton,ESL,Dari Storytime Sessions,0 - 5 years,"Sessions will be delivered in Dari and English. Come along for an hour of fun with your child. Listen to a story, do a craft activity and learn some important information to support your child’s health and development.",St Georges Rd School Community Hub,"120 St Georges Rd, Shepparton VIC 3630",Friday,11:00pm - 12:00pm
VIC,City of Greater Shepparton,ESL,Arabic Storytime Sessions,0 - 5 years,"Sessions will be delivered in Arabic and English. Come along for an hour of fun with your child. Listen to a story, do a craft activity and learn some important information to support your child’s health and development.",Arthur Mawson Kindergarten,"120 St Georges Rd, Shepparton VIC 3630",Thursday,2:00pm - 3:00pm
VIC,City of Greater Shepparton,ESL,Punjabi Storytime Sessions,0 - 5 years,"Sessions will be delivered in Punjabi and English. Come along for an hour of fun with your child. Listen to a story, do a craft activity and learn some important information to support your child’s health and development. Sessions may be cancelled due to extreme weather conditions.",South Shepparton Community Centre,"290 Archer St, Shepparton VIC 3630",Tuesday,10:30am - 11:30am
VIC,Hume City Council,plant,Bush Storytime,0 - 5 years,"It's Libraries in the Park! Meet us at Woodlands Historic Park in Greenvale for an outdoor Rhyme Time. Bush babies, tireless toddlers, and playful preschoolers welcome! Please book your tickets in advance. Sessions may be cancelled due to extreme weather conditions.",Woodlands Historic Park,"Somerton Road, Greenvale VIC 3059",Thursday,10:30am - 11:00am
VIC,Hume City Council,infant_session,Baby Bounce,0 - 1 years,For children between the age of 0 to 12 months. Enjoy gentle movements and rhymes as a first introduction to reading.,Broadmeadows Library,"1093 Pascoe Vale Road, Broadmeadows VIC 3047",Tuesday,1:00pm - 1:30pm
VIC,Hume City Council,infant_session,Baby Bounce,0 - 1 years,For children between the age of 0 to 12 months. Enjoy gentle movements and rhymes as a first introduction to reading.,Broadmeadows Library,"1093 Pascoe Vale Road, Broadmeadows VIC 3047",Friday,12:15pm - 12:45pm
VIC,Hume City Council,infant_session,Baby Bounce,0 - 1 years,For children between the age of 0 to 12 months. Enjoy gentle movements and rhymes as a first introduction to reading.,Craigieburn Library,"75-95 Central Park Avenue, Craigieburn VIC 3064",Monday,1:00pm - 1:30pm
VIC,Hume City Council,infant_session,Baby Bounce,0 - 1 years,For children between the age of 0 to 12 months. Enjoy gentle movements and rhymes as a first introduction to reading.,Craigieburn Library,"75-95 Central Park Avenue, Craigieburn VIC 3064",Thursday,2:00pm - 2:30pm
VIC,Hume City Council,infant_session,Baby Bounce,0 - 1 years,For children between the age of 0 to 12 months. Enjoy gentle movements and rhymes as a first introduction to reading.,Sunbury Library,"44 Macedon Street, Sunbury VIC 3429",Monday,12:00pm - 12:30pm
VIC,Hume City Council,infant_session,Baby Bounce,0 - 1 years,For children between the age of 0 to 12 months. Enjoy gentle movements and rhymes as a first introduction to reading.,Sunbury Library,"44 Macedon Street, Sunbury VIC 3429",Thursday,11:30am - 12:00pm
VIC,Hume City Council,infant_session,Baby Bounce,0 - 1 years,For children between the age of 0 to 12 months. Enjoy gentle movements and rhymes as a first introduction to reading.,Sunbury Library,"44 Macedon Street, Sunbury VIC 3429",Friday,11:30am - 12:00pm
VIC,Hume City Council,infant_session,Baby Bounce,0 - 1 years,For children between the age of 0 to 12 months. Enjoy gentle movements and rhymes as a first introduction to reading.,Tullamarine Library,"58 Spring Street, Tullamarine VIC 3043",Wednesday,12:15pm - 12:45pm
VIC,Hume City Council,rhymetime,Rhyme Time,0 - 3 years,Learn rhymes and how to engage your child in reading.,Sunbury Library,"44 Macedon Street, Sunbury VIC 3429",Monday,10:00am - 10:30am
VIC,Hume City Council,rhymetime,Rhyme Time,0 - 3 years,Learn rhymes and how to engage your child in reading.,Greenvale West Community Centre,"7 Ventura Way, Greenvale VIC 3059",Monday,10:00am - 10:30am
VIC,Hume City Council,rhymetime,Rhyme Time,0 - 3 years,Learn rhymes and how to engage your child in reading.,Broadmeadows Library,"1093 Pascoe Vale Road, Broadmeadows VIC 3047",Tuesday,10:15am - 10:45am
VIC,Hume City Council,rhymetime,Rhyme Time,0 - 3 years,Learn rhymes and how to engage your child in reading.,Craigieburn Library,"75-95 Central Park Avenue, Craigieburn VIC 3064",Tuesday,10:15am - 10:45am
VIC,Hume City Council,rhymetime,Rhyme Time,0 - 3 years,Learn rhymes and how to engage your child in reading.,Tullamarine Library,"58 Spring Street, Tullamarine VIC 3043",Wednesday,10:15am - 10:45am
VIC,Hume City Council,rhymetime,Rhyme Time,0 - 3 years,Learn rhymes and how to engage your child in reading.,Mickleham North Community Centre,"38 St Georges Blvd, Mickleham VIC 3064",Wednesday,2:30pm - 3:00pm
VIC,Hume City Council,rhymetime,Rhyme Time,0 - 3 years,Learn rhymes and how to engage your child in reading.,Sunbury Library,"44 Macedon Street, Sunbury VIC 3429",Friday,10:00am - 10:30am
VIC,Hume City Council,rhymetime,Rhyme Time,0 - 3 years,Learn rhymes and how to engage your child in reading.,Kalkallo Community Centre,"33 Toyon Road, Kalkallo VIC 3064",Friday,10:00am - 10:30am
VIC,Hume City Council,rhymetime,Rhyme Time,0 - 3 years,Learn rhymes and how to engage your child in reading.,Broadmeadows Library,"1093 Pascoe Vale Road, Broadmeadows VIC 3047",Friday,10:15am - 10:45am
VIC,Hume City Council,rhymetime,Rhyme Time,0 - 3 years,Learn rhymes and how to engage your child in reading.,Craigieburn Library,"75-95 Central Park Avenue, Craigieburn VIC 3064",Friday,10:15am - 10:45am
VIC,Hume City Council,ESL,Bilingual Storytime: Turkish,3 - 5 years,"A fun weekly activity for children between the age of 3 to 5 years old, presented in Turkish and English. Listen to stories, sing songs and rhymes, and complete craft activities with your child. These sessions are designed to help children develop a lifelong love of reading and a connection with the Turkish language.",Broadmeadows Library,"1093 Pascoe Vale Road, Broadmeadows VIC 3047",Monday,11:30am - 12:15pm
VIC,Hume City Council,ESL,Bilingual Storytime: Arabic,3 - 5 years,"A fun weekly activity for children between the age of 3 to 5 years old, presented in Arabic and English. Listen to stories, sing songs and rhymes, and complete craft activities with your child. These sessions are designed to help children develop a lifelong love of reading and a connection with the Arabic language.",Broadmeadows Library,"1093 Pascoe Vale Road, Broadmeadows VIC 3047",Wednesday,1:00pm - 1:45pm
VIC,Hume City Council,ESL,Bilingual Storytime: Assyrian,3 - 5 years,"A fun weekly activity for children between the age of 3 to 5 years old, presented in Assyrian and English. Listen to stories, sing songs and rhymes, and complete craft activities with your child. These sessions are designed to help children develop a lifelong love of reading and a connection with the Assyrian language.",Broadmeadows Library,"1093 Pascoe Vale Road, Broadmeadows VIC 3047",Thursday,11:00am - 11:45am
VIC,Hume City Council,ESL,Bilingual Storytime: Sinhala,3 - 5 years,"A fun weekly activity for children between the age of 3 to 5 years old, presented in Sinhala and English. Listen to stories, sing songs and rhymes, and complete craft activities with your child. These sessions are designed to help children develop a lifelong love of reading and a connection with the Sinhala language.",Craigieburn Library,"75-95 Central Park Avenue, Craigieburn VIC 3064",Monday,11:00am - 11:45am
VIC,Hume City Council,ESL,Bilingual Storytime: Arabic,3 - 5 years,"A fun weekly activity for children between the age of 3 to 5 years old, presented in Arabic and English. Listen to stories, sing songs and rhymes, and complete craft activities with your child. These sessions are designed to help children develop a lifelong love of reading and a connection with the Arabic language.",Craigieburn Library,"75-95 Central Park Avenue, Craigieburn VIC 3064",Wednesday,11:00am - 11:45am
VIC,Hume City Council,ESL,Bilingual Storytime: Turkish,3 - 5 years,"A fun weekly activity for children between the age of 3 to 5 years old, presented in Turkish and English. Listen to stories, sing songs and rhymes, and complete craft activities with your child. These sessions are designed to help children develop a lifelong love of reading and a connection with the Turkish language.",Craigieburn Library,"75-95 Central Park Avenue, Craigieburn VIC 3064",Wednesday,1:00pm - 1:45pm
VIC,Hume City Council,ESL,Bilingual Storytime: Hindi,3 - 5 years,"A fun weekly activity for children between the age of 3 to 5 years old, presented in Hindi and English. Listen to stories, sing songs and rhymes, and complete craft activities with your child. These sessions are designed to help children develop a lifelong love of reading and a connection with the Hindi language.",Craigieburn Library,"75-95 Central Park Avenue, Craigieburn VIC 3064",Thursday,11:00am - 11:45am
VIC,Hume City Council,ESL,Bilingual Storytime: Assyrian,3 - 5 years,"A fun weekly activity for children between the age of 3 to 5 years old, presented in Assyrian and English. Listen to stories, sing songs and rhymes, and complete craft activities with your child. These sessions are designed to help children develop a lifelong love of reading and a connection with the Assyrian language.",Craigieburn Library,"75-95 Central Park Avenue, Craigieburn VIC 3064",Friday,1:00pm - 1:45pm
VIC,Hume City Council,ESL,Bilingual Storytime: Punjabi,3 - 5 years,"A fun weekly activity for children between the age of 3 to 5 years old, presented in Punjabi and English. Listen to stories, sing songs and rhymes, and complete craft activities with your child. These sessions are designed to help children develop a lifelong love of reading and a connection with the Punjabi language.",Kalkallo Community Centre,"33 Toyon Road, Kalkallo VIC 3064",Friday,11:30am - 12:30pm
VIC,Hume City Council,ESL,Bilingual Storytime: Punjabi,3 - 5 years,"A fun weekly activity for children between the age of 3 to 5 years old, presented in Punjabi and English. Listen to stories, sing songs and rhymes, and complete craft activities with your child. These sessions are designed to help children develop a lifelong love of reading and a connection with the Punjabi language.",Mickleham North Community Centre,"38 St Georges Blvd, Mickleham VIC 3064",Monday,11:00am - 12:00pm
VIC,Hume City Council,infant_session,Books and Bubs,0 - 1 years,"Have you ever wondered what is going on in your baby's brain? Want to learn more about your baby's development, and how you can support them as they grow up? You can prepare your baby for literacy from day one! Books and Bubs is a great opportunity for you to discover how your baby learns, find out more about library programs like Baby Bounce, and meet other parents.",Sunbury Library,"44 Macedon Street, Sunbury VIC 3429",Thursday,11:00am - 11:30am
VIC,Hume City Council,pencil,Creative Kids,4 - 8 years,"Join us for a fun, engaging and imaginative afternoon of activities focused on the fun and reward of playing and creating.",Tullamarine Library,"58 Spring Street, Tullamarine VIC 3043",Thursday,4:00pm - 5:00pm
VIC,Hume City Council,blocks,Early Help Community Group,0 - 12 years,"A family-friendly support group for all ages. Make friends. Share experiences. Enjoy social activities. All are welcome, and free morning tea is provided every week.",Broadmeadows Library,"1093 Pascoe Vale Road, Broadmeadows VIC 3047",Wednesday,11:00am - 12:00pm
VIC,Hume City Council,blocks,Baby Playtime,0 - 1.5 years,"Relax, unwind and enjoy special play time with your baby. Share experiences and ideas with other parents.",Tullamarine Library,"58 Spring Street, Tullamarine VIC 3043",Saturday,9:30am - 11:00am
VIC,Yarra Ranges Council,books,Bookaburra Storytime,0 - 5 years,These sessions are open to all families with children aged 0-5 years. Bookaburra Storytime supports young children's early literacy skills and fosters a love of reading. Bring along your child and join the storytime fun.,Mt Dandenong Primary School,"13-15 Farndons Rd, Mt Dandenong 3767",Monday,09:15am - 10:00am
VIC,Yarra Ranges Council,books,Bookaburra Storytime,0 - 5 years,These sessions are open to all families with children aged 0-5 years. Bookaburra Storytime supports young children's early literacy skills and fosters a love of reading. Bring along your child and join the storytime fun.,Mt Evelyn Community House,"50 Wray Crescent, Mt Evelyn 3767",Tuesday,09:30am - 10:15am
VIC,Yarra Ranges Council,books,Bookaburra Storytime,0 - 5 years,These sessions are open to all families with children aged 0-5 years. Bookaburra Storytime supports young children's early literacy skills and fosters a love of reading. Bring along your child and join the storytime fun.,Monbulk Living and Learning Centre - Reading Room,"21 Main Street, Monbulk 3793",Tuesday,09:15am - 10:00am
VIC,Yarra Ranges Council,books,Bookaburra Storytime,0 - 5 years,These sessions are open to all families with children aged 0-5 years. Bookaburra Storytime supports young children's early literacy skills and fosters a love of reading. Bring along your child and join the storytime fun.,Japara Neighbourhood House,"54-58 Durham Road, Kilsyth 3137",Wednesday,09:15am - 10:00am
VIC,Yarra Ranges Council,books,Bookaburra Storytime,0 - 5 years,These sessions are open to all families with children aged 0-5 years. Bookaburra Storytime supports young children's early literacy skills and fosters a love of reading. Bring along your child and join the storytime fun.,Chirnside Park Community Hub,"33 Kimberley Road, Chirnside Park 3116",Thursday,09:15am - 10:00am
VIC,Yarra Ranges Council,books,Bookaburra Storytime,0 - 5 years,These sessions are open to all families with children aged 0-5 years. Bookaburra Storytime supports young children's early literacy skills and fosters a love of reading. Bring along your child and join the storytime fun.,Victoria Road Primary School,"44 Victoria Road, Lilydale 3140",Friday,09:15am - 10:00am
VIC,Hepburn Shire Council,rhymetime,Baby Rhyme Time,0-2 years,"A fun session with stories, songs, and puppets for our youngest book fans.",Daylesford Library,"13 Camp Street, Daylesford VIC 3460",Monday,10:30am - 11:00am
VIC,Hepburn Shire Council,rhymetime,Baby Rhyme Time,0-2 years,"A fun session with stories, songs, and puppets for our youngest book fans.",Creswick Library,"68 Albert Street, Creswick VIC 3363",Tuesday,10:30am - 11:00am
VIC,Hepburn Shire Council,rhymetime,Baby Rhyme Time,0-2 years,"A fun session with stories, songs, and puppets for our youngest book fans.",Trentham Library,"16 High Street, Trentham VIC 3458",Wednesday,11:00am - 11:30am
VIC,Hepburn Shire Council,rhymetime,Baby Rhyme Time,0-2 years,"A fun session with stories, songs, and puppets for our youngest book fans.",Clunes Library,"36 Fraser Street, Clunes VIC 3370",Thursday,11:30am - 12:00pm
VIC,Hepburn Shire Council,books,Storytime,3-5 years,Interactive storytelling for preschool-age book lovers.,Daylesford Library,"13 Camp Street, Daylesford VIC 3460",Friday,10:30am - 11:00am
